Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-08-19,Us,2019,https://boxd.it/78cWx5,4.5,,,2020-01-04
2024-08-20,6 Underground,2019,https://boxd.it/78BqJt,3.5,,,2020-01-26
2024-08-20,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/78BlWH,3,,,2020-12-27
2024-08-19,Dune,2021,https://boxd.it/78cHQh,4,,,2021-09-05
2024-08-20,Free Guy,2021,https://boxd.it/78BpVj,3,,,2021-11-29
2024-08-19,The Gray Man,2022,https://boxd.it/78cPFB,3.5,,,2022-07-03
2024-08-20,Parasite,2019,https://boxd.it/78BACR,5,,,2022-08-19
2024-08-19,Extraction 2,2023,https://boxd.it/78cMsz,4,,,2023-07-16
2024-08-19,The Flash,2023,https://boxd.it/78cTG9,3.5,,,2023-09-14
2024-08-19,Blue Beetle,2023,https://boxd.it/78cKgh,3.5,,,2023-09-16
2024-08-20,Transformers: Rise of the Beasts,2023,https://boxd.it/78BiSn,3,,,2023-09-19
2024-08-20,Gone Girl,2014,https://boxd.it/78Bx27,4.5,,,2024-01-06
2024-08-20,Gone Girl,2014,https://boxd.it/78Byoj,4.5,,2014,2024-01-06
2024-12-24,Crazy Rich Asians,2018,https://boxd.it/88sBuf,3,,,2024-01-11
2024-12-24,Ride Along,2014,https://boxd.it/88sCMT,3.5,,,2024-02-08
2024-12-24,Dave Chappelle: The Closer,2021,https://boxd.it/88syXt,4,,,2024-03-16
2024-12-24,Ford v Ferrari,2019,https://boxd.it/88szNp,4,,2019,2024-03-23
2024-12-24,Rim of the World,2019,https://boxd.it/88sAoZ,3,,2019,2024-03-30
2024-04-06,Fight Club,1999,https://boxd.it/6dx7pD,5,,1999,2024-04-06
2024-12-24,Upgraded,2024,https://boxd.it/88swln,3,,2024,2024-05-25
2024-08-20,Mad Max: Fury Road,2015,https://boxd.it/78BzFl,4.5,Yes,,2024-07-05
2024-12-24,Hit Man,2023,https://boxd.it/88sxId,3,,,2024-07-12
2024-12-24,The Beekeeper,2024,https://boxd.it/88swYJ,3,,,2024-07-19
2024-08-02,Thunder Force,2021,https://boxd.it/70PZv3,0.5,,2021,2024-08-02
2024-08-03,Whiplash,2014,https://boxd.it/71fYa1,4,Yes,2014,2024-08-03
2024-08-20,Furiosa: A Mad Max Saga,2024,https://boxd.it/78BBdD,4,Yes,rewatch,2024-08-03
2024-12-24,Shōgun,2024,https://boxd.it/88svMx,4.5,,2024,2024-08-03
2024-08-08,The Interview,2014,https://boxd.it/73bZ0L,3.5,,2014,2024-08-07
2024-08-17,Furiosa: A Mad Max Saga,2024,https://boxd.it/77qaqp,4,,2024,2024-08-17
2024-08-17,Mad Max: Fury Road,2015,https://boxd.it/77qc59,5,,2015,2024-08-17
2024-08-19,Little Nicky,2000,https://boxd.it/78c8E1,3.5,,2000,2024-08-18
2024-08-20,The Union,2024,https://boxd.it/78BVqH,3,,2024,2024-08-19
2024-08-29,Matilda,1996,https://boxd.it/7cIYG9,4,,1996,2024-08-28
2024-09-04,Entergalactic,2022,https://boxd.it/7fEwJ9,4,,2022,2024-09-03
2024-09-05,Grown Ups,2010,https://boxd.it/7g3y1j,4.5,,2010,2024-09-04
2024-09-08,Trap,2024,https://boxd.it/7hlPBN,3.5,,2024,2024-09-07
2024-09-09,Lady Bird,2017,https://boxd.it/7hTGMZ,3,,2017,2024-09-08
2024-09-15,Johnny English,2003,https://boxd.it/7koCvP,4,,2003,2024-09-14
2024-09-15,Johnny English Strikes Again,2018,https://boxd.it/7koD4l,3.5,,2018,2024-09-14
2024-10-13,Arrival,2016,https://boxd.it/7x4vZF,4.5,,,2024-10-12
2024-10-13,Terrifier 2,2022,https://boxd.it/7x4NZD,4,,2022,2024-10-12
2024-10-20,Alien: Romulus,2024,https://boxd.it/7ACtZN,4,,2024,2024-10-19
2024-10-22,Absolutely Anything,2015,https://boxd.it/7BV6LZ,3.5,,2015,2024-10-21
2024-10-30,The Hangover Part II,2011,https://boxd.it/7G35wh,3,,2011,2024-10-29
2024-10-31,Romeo Must Die,2000,https://boxd.it/7GwbDV,3.5,,2000,2024-10-30
2024-11-01,Talk to Me,2022,https://boxd.it/7HmF8R,4,,,2024-11-01
2024-11-02,Bob Marley: One Love,2024,https://boxd.it/7HwM2B,3,,2024,2024-11-01
2024-11-03,The Hangover Part III,2013,https://boxd.it/7I1kgd,3.5,,2013,2024-11-02
2024-11-08,Chernobyl,2019,https://boxd.it/7KVFMp,4.5,,2019,2024-11-08
2024-11-09,Dìdi (弟弟),2024,https://boxd.it/7L1H2Z,4.5,,2024,2024-11-08
2024-11-10,How to Lose a Guy in 10 Days,2003,https://boxd.it/7Lu9F7,4,,2003,2024-11-09
2024-11-12,Game Night,2018,https://boxd.it/7MLfp3,4.5,,,2024-11-11
2024-11-19,(500) Days of Summer,2009,https://boxd.it/7QdNVF,3.5,Yes,"rewatch, 2009",2024-11-14
2024-11-16,Gladiator,2000,https://boxd.it/7OxbRx,4,,2000,2024-11-15
2024-11-17,Gladiator II,2024,https://boxd.it/7P8lDz,3.5,,"theatre watch, 2024",2024-11-16
2024-11-18,The Mask,1994,https://boxd.it/7PCGVz,3.5,,1994,2024-11-17
2024-11-19,Wolfs,2024,https://boxd.it/7QeErX,3,,2024,2024-11-18
2024-11-20,Good Boys,2019,https://boxd.it/7QGj6l,3.5,,2019,2024-11-19
2024-11-26,Her,2013,https://boxd.it/7TKpfD,4,,2013,2024-11-25
2024-11-27,10 Things I Hate About You,1999,https://boxd.it/7UdXyn,4,,1999,2024-11-26
2024-11-30,The Perks of Being a Wallflower,2012,https://boxd.it/7VJRun,4.5,,2012,2024-11-29
2024-12-08,Casino Royale,2006,https://boxd.it/7ZyUoL,4,,2024,2024-11-30
2024-12-07,Saturday Night,2024,https://boxd.it/7ZadLJ,3,,2024,2024-12-06
2024-12-09,Dead Poets Society,1989,https://boxd.it/808eLl,4,,1989,2024-12-08
2024-12-15,Sorry to Bother You,2018,https://boxd.it/836k4b,4,,2018,2024-12-14
2024-12-21,I Saw the TV Glow,2024,https://boxd.it/86x7f7,3,,2024,2024-12-20
2024-12-22,Nairobi Half Life,2012,https://boxd.it/87vHCB,4,,2012,2024-12-22
2024-12-24,The Batman,2022,https://boxd.it/88Ezy9,5,,2022,2024-12-24
2024-12-28,Bullet Train,2022,https://boxd.it/8bEA7P,4,Yes,"rewatch, 2022",2024-12-27
2024-12-28,Past Lives,2023,https://boxd.it/8bOOCx,3.5,,2023,2024-12-27
2024-12-29,They Cloned Tyrone,2023,https://boxd.it/8cyn5j,4,,2023,2024-12-28
2024-12-29,Carry-On,2024,https://boxd.it/8cF6tx,3,,2024,2024-12-28
2025-01-01,Babylon,2022,https://boxd.it/8fyDG3,3.5,,2022,2024-12-31
2025-01-02,Juror #2,2024,https://boxd.it/8gnSN1,3,,2024,2025-01-01
2025-01-04,The Proposal,2009,https://boxd.it/8ioGaB,3.5,,2009,2025-01-03
2025-01-11,The Menu,2022,https://boxd.it/8px9lx,4,,2022,2025-01-10
2025-01-14,Wicked,2024,https://boxd.it/8sHdoR,3.5,,2024,2025-01-13
2025-01-16,Tag,2018,https://boxd.it/8ujzq1,3,,2018,2025-01-15
2025-01-20,Game Night,2018,https://boxd.it/8xePbt,4.5,Yes,"rewatch, 2018",2025-01-19
2025-01-28,Conclave,2024,https://boxd.it/8DGa05,3,,2024,2025-01-27
2025-01-29,Judas and the Black Messiah,2021,https://boxd.it/8El73R,4,,2021,2025-01-28
2025-01-30,Source Code,2011,https://boxd.it/8EYXLz,3.5,,2011,2025-01-29
2025-02-01,The Penguin,2024,https://boxd.it/8GkzeT,4.5,,2024,2025-01-31
2025-02-08,Reservoir Dogs,1992,https://boxd.it/8Lb0Rt,4,,1992,2025-02-07
2025-02-09,Grease,1978,https://boxd.it/8LX53p,3.5,,1978,2025-02-08
2025-02-15,See How They Run,2022,https://boxd.it/8PHH87,3.5,,2022,2025-02-14
2025-02-22,The Gorge,2025,https://boxd.it/8UrV7F,3,,2025,2025-02-21
2025-02-26,Companion,2025,https://boxd.it/8XbrvH,3.5,,2025,2025-02-25
2025-03-01,Kill Bill: Vol. 1,2003,https://boxd.it/8YI3yR,5,,2003,2025-02-28
2025-03-08,Mickey 17,2025,https://boxd.it/93aQRP,4,,"theatre watch, 2025",2025-03-07
2025-04-05,Opus,2025,https://boxd.it/9jADXh,2.5,,2025,2025-04-04
2025-04-21,In the Mood for Love,2000,https://boxd.it/9sZDIx,4.5,,2000,2025-04-20
2025-04-22,Ocean's Eleven,2001,https://boxd.it/9tQdlN,3.5,,2001,2025-04-21
2025-04-27,"tick, tick... BOOM!",2021,https://boxd.it/9wzhSJ,4,,2021,2025-04-26
2025-05-02,Palm Springs,2020,https://boxd.it/9zAfRt,3,,2020,2025-05-01
2025-05-11,Drop,2025,https://boxd.it/9EMgPR,3,,2025,2025-05-10
2025-05-13,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/9GddFH,4.5,,2005,2025-05-13
2025-05-14,Rogue One: A Star Wars Story,2016,https://boxd.it/9GIdBn,4,,2016,2025-05-13
2025-05-15,Star Wars,1977,https://boxd.it/9H3suj,4,,1977,2025-05-14
2025-05-15,Perfect Blue,1997,https://boxd.it/9Hwamf,4,,1997,2025-05-15
2025-05-17,Scott Pilgrim vs. the World,2010,https://boxd.it/9I2L1n,4,,2010,2025-05-16
2025-05-17,The Empire Strikes Back,1980,https://boxd.it/9IdkdD,4.5,,1980,2025-05-16
2025-05-20,Kiss Kiss Bang Bang,2005,https://boxd.it/9Kc3Hn,3.5,,2005,2025-05-19
2025-05-23,Sinners,2025,https://boxd.it/9LGAJv,5,,"theatre watch, 2025",2025-05-22
2025-05-25,Snatch,2000,https://boxd.it/9N1eAn,4.5,,2000,2025-05-24
2025-05-27,Neymar: The Perfect Chaos,2022,https://boxd.it/9Oszr5,,,2022,2025-05-26
2025-05-28,Nope,2022,https://boxd.it/9OZLXD,3.5,,2022,2025-05-27
2025-05-28,Remember the Titans,2000,https://boxd.it/9PyIAV,3,,2000,2025-05-28
2025-05-31,13 Going on 30,2004,https://boxd.it/9QShDH,3,,2004,2025-05-30
2025-06-03,Inglourious Basterds,2009,https://boxd.it/9SWETT,5,,2009,2025-06-02
2025-06-05,Grave of the Fireflies,1988,https://boxd.it/9TV9fb,4.5,,1988,2025-06-04
2025-06-07,Burn After Reading,2008,https://boxd.it/9V7XXF,3.5,,2008,2025-06-06
2025-06-08,Sinners,2025,https://boxd.it/9VHnG1,5,Yes,"rewatch, 2025",2025-06-07
2025-06-12,The Gentlemen,2019,https://boxd.it/9Yj67H,4,,2019,2025-06-11
