Date,Name,Year,Letterboxd URI,Rating
2024-04-11,Fury,2014,https://boxd.it/6JwC,3
2024-04-19,Oppenheimer,2023,https://boxd.it/wUow,4
2024-04-19,La La Land,2016,https://boxd.it/a5fa,4.5
2024-04-19,Fast X,2023,https://boxd.it/drIu,2
2024-04-19,The Gray Man,2022,https://boxd.it/rb7q,3.5
2024-04-19,Heart of Stone,2023,https://boxd.it/r91A,1.5
2024-04-19,The 355,2022,https://boxd.it/iWI6,2.5
2024-04-30,Shōgun,2024,https://boxd.it/LciY,4.5
2024-05-04,300,2006,https://boxd.it/28XI,4.5
2024-05-14,Upgraded,2024,https://boxd.it/ClSe,3
2024-05-18,Dune,2021,https://boxd.it/fA7G,4
2024-05-21,In Time,2011,https://boxd.it/FPS,3
2024-05-22,Blue Beetle,2023,https://boxd.it/kJLq,3.5
2024-05-22,Shazam! Fury of the Gods,2023,https://boxd.it/lV0S,3
2024-05-22,Shazam!,2019,https://boxd.it/8WBu,4
2024-05-22,Black Adam,2022,https://boxd.it/fup0,2.5
2024-05-22,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,4
2024-05-22,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,3
2024-05-22,Madame Web,2024,https://boxd.it/nwD0,0.5
2024-05-22,Joker,2019,https://boxd.it/h4cS,4
2024-05-22,American Psycho,2000,https://boxd.it/28Vs,4.5
2024-05-22,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,3.5
2024-05-22,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3.5
2024-05-22,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,4
2024-05-22,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,4
2024-05-22,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,4
2024-05-22,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,3.5
2024-05-22,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/7FPC,3.5
2024-05-24,The Queen's Gambit,2020,https://boxd.it/s1Ym,4.5
2024-05-24,Ford v Ferrari,2019,https://boxd.it/ce74,4
2024-05-24,Hacksaw Ridge,2016,https://boxd.it/azew,4
2024-05-24,Memento,2000,https://boxd.it/2bcK,5
2024-05-25,Superbad,2007,https://boxd.it/20hO,4
2024-05-25,Tenet,2020,https://boxd.it/leq4,4
2024-05-25,Inception,2010,https://boxd.it/1skk,4.5
2024-05-28,A Few Good Men,1992,https://boxd.it/29nw,4
2024-05-28,Friday,1995,https://boxd.it/1VLO,4
2024-05-28,Why Do Fools Fall In Love,1998,https://boxd.it/Mya,3
2024-05-28,Mean Girls,2004,https://boxd.it/1VNg,3.5
2024-05-28,300: Rise of an Empire,2014,https://boxd.it/xaC,3.5
2024-05-29,The Social Network,2010,https://boxd.it/17ue,4
2024-05-30,Ratatouille,2007,https://boxd.it/27ww,4.5
2024-05-30,"Monsters, Inc.",2001,https://boxd.it/2a46,4
2024-05-31,Think Like a Man,2012,https://boxd.it/2ffo,3
2024-06-02,Identity,2003,https://boxd.it/26e2,3.5
2024-06-02,Fractured,2019,https://boxd.it/kPL2,4
2024-06-03,The Beekeeper,2024,https://boxd.it/wJzS,3
2024-06-07,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2024-06-09,Wanted,2008,https://boxd.it/1ZBS,3.5
2024-06-30,Hit Man,2023,https://boxd.it/ANB2,3
2024-07-27,Rat Race,2001,https://boxd.it/1XAo,3.5
2024-07-30,Top Gun,1986,https://boxd.it/29JC,4
2024-07-30,Teenage Mutant Ninja Turtles,2014,https://boxd.it/3oAs,3.5
2024-07-30,Justice League,2017,https://boxd.it/4w68,2.5
2024-07-30,Suicide Squad,2016,https://boxd.it/9row,2.5
2024-07-30,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,3
2024-08-02,The Terminator,1984,https://boxd.it/2aQY,4
2024-08-02,The Guilty,2021,https://boxd.it/kOPW,3.5
2024-08-02,Casino Royale,2006,https://boxd.it/1alk,4
2024-08-02,No Time to Die,2021,https://boxd.it/cPX2,3.5
2024-08-02,Black Widow,2021,https://boxd.it/hWV8,3.5
2024-08-02,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/dnDA,3
2024-08-02,6 Underground,2019,https://boxd.it/irU6,3.5
2024-08-02,John Wick,2014,https://boxd.it/7dEc,4
2024-08-02,Extraction,2020,https://boxd.it/jUjA,3.5
2024-08-02,The Hitman's Bodyguard,2017,https://boxd.it/dCmO,3
2024-08-02,Polar,2019,https://boxd.it/hoZg,3
2024-08-02,Guns Akimbo,2019,https://boxd.it/gkFu,3
2024-08-02,Free Guy,2021,https://boxd.it/k8dm,3
2024-08-02,The Adam Project,2022,https://boxd.it/q2Dg,3
2024-08-02,Thor: Love and Thunder,2022,https://boxd.it/mMAY,3
2024-08-02,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2024-08-02,Deadpool 2,2018,https://boxd.it/dlLM,4
2024-08-02,Deadpool,2016,https://boxd.it/9fOC,4
2024-08-02,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3
2024-08-02,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3.5
2024-08-02,Transformers: Rise of the Beasts,2023,https://boxd.it/oQTa,3
2024-08-02,Eternals,2021,https://boxd.it/j36o,3
2024-08-05,Someone Great,2019,https://boxd.it/iFva,2.5
2024-08-08,The Green Mile,1999,https://boxd.it/2agG,4
2024-08-08,The Dictator,2012,https://boxd.it/2DEW,3.5
2024-08-08,The Interview,2014,https://boxd.it/6KQ4,3.5
2024-08-13,Crazy Rich Asians,2018,https://boxd.it/gfnK,3
2024-08-14,Nightcrawler,2014,https://boxd.it/780m,4
2024-08-15,Knives Out,2019,https://boxd.it/jWEA,4.5
2024-08-15,The Purge: Anarchy,2014,https://boxd.it/71zk,3
2024-08-15,The Purge: Election Year,2016,https://boxd.it/ae5I,3.5
2024-08-15,Us,2019,https://boxd.it/gnV6,4.5
2024-08-17,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,4
2024-08-19,Little Nicky,2000,https://boxd.it/1Y4I,3.5
2024-08-20,Gone Girl,2014,https://boxd.it/6hQu,4.5
2024-08-20,The Union,2024,https://boxd.it/qkD4,3
2024-08-29,Matilda,1996,https://boxd.it/1VhY,4
2024-09-04,Entergalactic,2022,https://boxd.it/CPN4,4
2024-09-05,Grown Ups,2010,https://boxd.it/169a,4
2024-09-08,Trap,2024,https://boxd.it/D4nK,3.5
2024-09-09,Lady Bird,2017,https://boxd.it/dGNE,3
2024-09-15,Johnny English,2003,https://boxd.it/1YyI,4
2024-09-15,Johnny English Strikes Again,2018,https://boxd.it/gzGW,3.5
2024-10-13,Swindle,2013,https://boxd.it/6rNU,3.5
2024-10-19,Alien: Romulus,2024,https://boxd.it/zGqO,4
2024-10-22,2036: Nexus Dawn,2017,https://boxd.it/gXZo,3.5
2024-10-22,Absolutely Anything,2015,https://boxd.it/34Ry,3.5
2024-10-30,The Hangover Part II,2011,https://boxd.it/PZI,3
2024-10-31,Romeo Must Die,2000,https://boxd.it/27tC,3.5
2024-11-01,Joker: Folie à Deux,2024,https://boxd.it/xBoE,2.5
2024-11-02,Bob Marley: One Love,2024,https://boxd.it/uckw,3
2024-11-02,Doctor Strange,2016,https://boxd.it/8MH8,3.5
2024-11-02,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3
2024-11-03,The Hangover Part III,2013,https://boxd.it/3GNY,3.5
2024-11-08,Chernobyl,2019,https://boxd.it/mkbG,4.5
2024-11-10,Sing,2016,https://boxd.it/b5EQ,3.5
2024-11-12,Game Night,2018,https://boxd.it/fRtu,4.5
2024-11-13,The Devil Wears Prada,2006,https://boxd.it/2awE,3.5
2024-11-16,Gladiator,2000,https://boxd.it/2b9m,4.5
2024-11-17,Gladiator II,2024,https://boxd.it/kqQQ,3.5
2024-11-18,The Mask,1994,https://boxd.it/29rS,3.5
2024-11-19,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3.5
2024-11-19,Mulan,1998,https://boxd.it/1VFw,4
2024-11-19,Mulan,2020,https://boxd.it/bbK6,2
2024-11-19,Sarafina!,1992,https://boxd.it/1bFU,3.5
2024-11-19,(500) Days of Summer,2009,https://boxd.it/1EmM,3.5
2024-11-19,Wolfs,2024,https://boxd.it/x6zG,3
2024-11-19,The Hangover,2009,https://boxd.it/1GjK,4
2024-11-20,Good Boys,2019,https://boxd.it/iW1G,3.5
2024-11-20,Bullet Train,2022,https://boxd.it/qW26,4
2024-11-20,The Notebook,2004,https://boxd.it/1UNE,3.5
2024-11-22,The Equalizer 3,2023,https://boxd.it/yU54,3.5
2024-11-23,Lucky Number Slevin,2006,https://boxd.it/2aVu,3.5
2024-11-26,Her,2013,https://boxd.it/4O24,4
2024-11-27,10 Things I Hate About You,1999,https://boxd.it/23AO,4
2024-11-29,Do Revenge,2022,https://boxd.it/sFiA,3
2024-11-29,The Perfect Date,2019,https://boxd.it/jP9A,2.5
2024-11-29,Barbie,2023,https://boxd.it/bCLK,3.5
2024-11-30,Encanto,2021,https://boxd.it/kPRu,4
2024-11-30,Enola Holmes,2020,https://boxd.it/hX2o,3.5
2024-11-30,Madagascar,2005,https://boxd.it/29dc,4
2024-11-30,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,4
2024-12-02,Central Intelligence,2016,https://boxd.it/9DFE,3.5
2024-12-02,Ride Along,2014,https://boxd.it/5dqA,3.5
2024-12-02,Ride Along 2,2016,https://boxd.it/awtS,3
2024-12-02,Dave Chappelle: The Closer,2021,https://boxd.it/xbe4,4
2024-12-02,The Weeknd: After Hours,2020,https://boxd.it/pnHQ,5
2024-12-07,Saturday Night,2024,https://boxd.it/Gpfo,3
2024-12-08,Dennis the Menace,1993,https://boxd.it/1SrQ,3.5
2024-12-09,Dead Poets Society,1989,https://boxd.it/2aSg,4
