Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-04-06,Fight Club,1999,https://boxd.it/6dx7pD,5,,Y'all breaking the first rule of fight club,1999,2024-04-06
2024-08-02,Thunder Force,2021,https://boxd.it/70PZv3,0.5,,The worst 107 mins of my life,2021,2024-08-02
2024-08-08,The Interview,2014,https://boxd.it/73bZ0L,3.5,,The opening two minutes were so real,2014,2024-08-07
2024-10-20,Alien: Romulus,2024,https://boxd.it/7ACtZN,4,,Damn! Double Homicide,2024,2024-10-19
2024-10-30,The Hangover Part II,2011,https://boxd.it/7G35wh,3,,"<i>""What happens in Bangkok stays in Bangkok ""</i>",2011,2024-10-29
2024-10-31,Romeo Must Die,2000,https://boxd.it/7GwbDV,3.5,,"Aaliyah was such a gem of a soul ,may she continue resting in peace",2000,2024-10-30
2024-11-18,The Mask,1994,https://boxd.it/7PCGVz,3.5,,"Watching this as a kid: ‘Wow, this is hilarious!’ Watching it as an adult: ‘Wow, this is deeply unhinged",1994,2024-11-17
2024-11-19,(500) Days of Summer,2009,https://boxd.it/7QdNVF,3.5,Yes,Man saw one smile and wrote a wedding speech 🤦🏿‍♂️,"rewatch, 2009",2024-11-14
2024-11-19,Wolfs,2024,https://boxd.it/7QeErX,3,,"George Clooney vibing to Sade in his car felt more authentic than the entire plot. If the movie had just been him doing that for two hours, it would’ve been 5 stars easy",2024,2024-11-18
2024-11-26,Her,2013,https://boxd.it/7TKpfD,4,,"Falling in love with your OS? <i>Relatable

</i>",2013,2024-11-25
2024-11-30,The Perks of Being a Wallflower,2012,https://boxd.it/7VJRun,4.5,,Can't let the gang know I fw this type of movies,2012,2024-11-29
2024-12-07,Saturday Night,2024,https://boxd.it/7ZadLJ,3,,mehh,2024,2024-12-06
2024-12-08,Casino Royale,2006,https://boxd.it/7ZyUoL,4,,The opening credits was so cool,2024,2024-11-30
2024-12-09,Dead Poets Society,1989,https://boxd.it/808eLl,4,,I wish my English teacher was as cool as Mr Keating,1989,2024-12-08
2024-12-15,Sorry to Bother You,2018,https://boxd.it/836k4b,4,,"Sorry to bother you,but what just happened?",2018,2024-12-14
2024-12-21,I Saw the TV Glow,2024,https://boxd.it/86x7f7,3,,"Well I think I liked it,kinda",2024,2024-12-20
