Date,Name,Year,Letterboxd URI
2024-05-22,The Silence of the Lambs,1991,https://boxd.it/2aHW
2024-06-10,Meet Joe Black,1998,https://boxd.it/2aEI
2024-08-24,Primer,2004,https://boxd.it/6YA
2024-08-24,Moon,2009,https://boxd.it/1IGQ
2024-11-29,Carol,2015,https://boxd.it/7DPK
2024-11-29,Boyhood,2014,https://boxd.it/3178
2024-11-29,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2024-11-29,50/50,2011,https://boxd.it/10Tw
2024-11-29,Notting Hill,1999,https://boxd.it/2aeK
2024-11-29,Four Weddings and a Funeral,1994,https://boxd.it/29KA
2024-12-03,The Brothers Bloom,2008,https://boxd.it/1Bqm
2024-12-03,12 Years a Slave,2013,https://boxd.it/2D2e
2024-12-15,Titane,2021,https://boxd.it/nlQC
2024-12-28,Scarface,1983,https://boxd.it/2b7g
2024-12-28,Longlegs,2024,https://boxd.it/KzLM
2024-12-28,The Shining,1980,https://boxd.it/29Nu
2024-12-29,Dream Lover,1994,https://boxd.it/1Hpk
2025-01-16,Oblivion,2013,https://boxd.it/2Bzq
2025-03-01,The Odyssey,2026,https://boxd.it/QFQU
2025-05-10,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2025-05-15,Eraserhead,1977,https://boxd.it/299u
2025-05-15,Akira,1988,https://boxd.it/2b1i
2025-05-15,Free Fire,2016,https://boxd.it/b2Ig
2025-05-21,I Care a Lot,2020,https://boxd.it/mcHk
2025-06-06,Love Actually,2003,https://boxd.it/2aeU
2025-06-13,In the Grey,2026,https://boxd.it/Grji
2025-06-20,Blue Valentine,2010,https://boxd.it/MxG
2025-06-20,The Place Beyond the Pines,2012,https://boxd.it/3mDu
2025-06-23,Almost Famous,2000,https://boxd.it/29CQ
2025-06-23,Brothers,2009,https://boxd.it/20WW
2025-06-24,Up in the Air,2009,https://boxd.it/1zPY
2025-06-29,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A
2025-06-29,Apocalypse Now,1979,https://boxd.it/6ZS
2025-06-29,The Visit,2015,https://boxd.it/9ssO
2025-07-03,Die Hard,1988,https://boxd.it/2a7u
2025-07-05,The Insider,1999,https://boxd.it/1ZoE
2025-07-05,Menace II Society,1993,https://boxd.it/1Yuc
2025-07-05,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy
2025-07-05,TÁR,2022,https://boxd.it/uNIA
2025-07-05,Let the Right One In,2008,https://boxd.it/1Qr0
2025-07-05,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M
2025-07-05,American History X,1998,https://boxd.it/2bdo
2025-07-05,Seven Samurai,1954,https://boxd.it/2axi
2025-07-05,Scent of a Woman,1992,https://boxd.it/1YAu
2025-07-05,Manchester by the Sea,2016,https://boxd.it/b2L0
2025-07-05,The Sixth Sense,1999,https://boxd.it/29Js
2025-07-05,The Hunt,2012,https://boxd.it/3wEC
2025-07-05,The Big Lebowski,1998,https://boxd.it/2b6C
2025-07-05,The Revenant,2015,https://boxd.it/8H5e
2025-07-05,Full Metal Jacket,1987,https://boxd.it/2a1Q
2025-07-07,Ready or Not,2019,https://boxd.it/kOf0
2025-07-08,He Got Game,1998,https://boxd.it/1YBs
2025-07-08,The Northman,2022,https://boxd.it/nK2s
2025-07-09,MadS,2024,https://boxd.it/M8qQ
2025-07-09,Thief,1981,https://boxd.it/1TEc
2025-07-09,Ferrari,2023,https://boxd.it/cEtq
2025-07-09,The Mist,2007,https://boxd.it/22r2
2025-07-11,The Batman: Part II,2027,https://boxd.it/umDy
2025-07-11,City of Angels,1998,https://boxd.it/29Bo
2025-07-12,Following,1998,https://boxd.it/1Tj4
2025-07-12,Insomnia,2002,https://boxd.it/2aB0
2025-07-14,Face/Off,1997,https://boxd.it/29I0
2025-07-14,Demolition,2015,https://boxd.it/9GuY
2025-07-16,The Iron Claw,2023,https://boxd.it/w5Pm
2025-07-16,Legends of the Fall,1994,https://boxd.it/24ho
2025-07-17,Ran,1985,https://boxd.it/1Tlu
2025-07-17,Bones and All,2022,https://boxd.it/tLd4
2025-07-19,The Creator,2023,https://boxd.it/oXWq
2025-07-19,Dune: Part Three,2026,https://boxd.it/ImWe
2025-07-19,Magnolia,1999,https://boxd.it/2aze
2025-07-20,Waltz with Bashir,2008,https://boxd.it/1ZFA
2025-07-23,Stalker,1979,https://boxd.it/28PO
2025-07-23,Solaris,1972,https://boxd.it/2a2Y
2025-07-23,The Sacrifice,1986,https://boxd.it/1xg8
2025-07-23,Man on Fire,2004,https://boxd.it/1Yvk
2025-08-19,Climax,2018,https://boxd.it/ikvo
2025-10-07,Freda,2021,https://boxd.it/vy8a
2025-10-12,It's a Wonderful Life,1946,https://boxd.it/28xA
2025-10-12,Nick of Time,1995,https://boxd.it/27ts
2025-10-12,Hamilton,2020,https://boxd.it/kmvE
2025-10-12,The Night Of,2016,https://boxd.it/eC1I
2025-10-12,Life,2017,https://boxd.it/dRqG
2025-10-12,Schindler's List,1993,https://boxd.it/2aq2
2025-10-12,Spirited Away,2001,https://boxd.it/2b4m
2025-10-12,The Elephant Man,1980,https://boxd.it/27LQ
2025-10-12,Amadeus,1984,https://boxd.it/2aH8
2025-10-12,Mr. Nobody,2009,https://boxd.it/1k44
2025-10-13,How to Build a Library,2025,https://boxd.it/IRQ2
2025-10-13,"No Chains, No Masters",2024,https://boxd.it/GBM0
2025-10-13,The Empty Grave,2024,https://boxd.it/KLLa
2025-10-13,Where the Wind Comes From,2025,https://boxd.it/BPH4
2025-10-13,The Village Next to Paradise,2024,https://boxd.it/Cgp2
2025-10-13,Talking About Trees,2019,https://boxd.it/lcG0
2025-10-14,Speak,2004,https://boxd.it/1MTO
2025-10-14,Soundtrack to a Coup d'Etat,2024,https://boxd.it/K5gk
2025-10-14,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,https://boxd.it/tbhu
2025-10-14,Is That Black Enough for You?!?,2022,https://boxd.it/CjyQ
2025-10-14,Flee,2021,https://boxd.it/ponM
2025-10-14,Millennium Actress,2001,https://boxd.it/1fK0
2025-10-16,Frances Ha,2012,https://boxd.it/41Xg
2025-10-16,Singin' in the Rain,1952,https://boxd.it/29oY
2025-10-16,Cinema Paradiso,1988,https://boxd.it/1UlA
2025-10-16,Barry Lyndon,1975,https://boxd.it/25A2
2025-10-16,District 9,2009,https://boxd.it/1Iik
2025-10-17,F for Fake,1973,https://boxd.it/VxA
2025-10-18,Casino,1995,https://boxd.it/2ads
2025-10-18,A Brighter Summer Day,1991,https://boxd.it/1Luy
2025-10-18,Pearl,2022,https://boxd.it/zPbe
2025-10-18,X,2022,https://boxd.it/sxVa
2025-10-18,mother!,2017,https://boxd.it/dgRU
2025-10-18,In Fabric,2018,https://boxd.it/h2sY
2025-10-18,All My Friends Hate Me,2021,https://boxd.it/uWPK
